time,P
20190222:2306,0.0
20190223:0006,0.0
20190223:0106,0.0
20190223:0206,0.0
20190223:0306,0.0
20190223:0406,0.0
20190223:0506,130.82
20190223:0606,349.99
20190223:0706,512.37
20190223:0806,607.05
20190223:0906,691.7
20190223:1006,593.89
20190223:1106,584.79
20190223:1206,283.08
20190223:1306,189.33
20190223:1406,19.52
20190223:1506,51.92
20190223:1606,0.0
20190223:1706,0.0
20190223:1806,0.0
20190223:1906,0.0
20190223:2006,0.0
20190223:2106,0.0
20190223:2206,0.0
20190223:2306,0.0
20190224:0006,0.0
20190224:0106,0.0
20190224:0206,0.0
20190224:0306,0.0
20190224:0406,0.0
20190224:0506,79.29
20190224:0606,230.5
20190224:0706,473.32
20190224:0806,590.39
20190224:0906,585.74
20190224:1006,120.54
20190224:1106,116.88
20190224:1206,272.81
20190224:1306,491.21
20190224:1406,321.32
20190224:1506,97.04
20190224:1606,0.0
20190224:1706,0.0
20190224:1806,0.0
20190224:1906,0.0
20190224:2006,0.0
20190224:2106,0.0
20190224:2206,0.0
20190224:2306,0.0
20190225:0006,0.0
20190225:0106,0.0
20190225:0206,0.0
20190225:0306,0.0
20190225:0406,0.0
20190225:0506,140.87
20190225:0606,125.33
20190225:0706,194.61
20190225:0806,120.29
20190225:0906,116.22
20190225:1006,114.52
20190225:1106,685.35
20190225:1206,661.81
20190225:1306,522.6
20190225:1406,359.53
20190225:1506,118.34
20190225:1606,0.0
20190225:1706,0.0
20190225:1806,0.0
20190225:1906,0.0
20190225:2006,0.0
20190225:2106,0.0
20190225:2206,0.0
20190225:2306,0.0
20190226:0006,0.0
20190226:0106,0.0
20190226:0206,0.0
20190226:0306,0.0
20190226:0406,0.0
20190226:0506,139.89
20190226:0606,365.11
20190226:0706,548.79
20190226:0806,668.9
20190226:0906,748.11
20190226:1006,771.05
20190226:1106,720.9
20190226:1206,553.16
20190226:1306,515.23
20190226:1406,306.69
20190226:1506,93.3
20190226:1606,0.0
20190226:1706,0.0
20190226:1806,0.0
20190226:1906,0.0
20190226:2006,0.0
20190226:2106,0.0
20190226:2206,0.0
20190226:2306,0.0
20190227:0006,0.0
20190227:0106,0.0
20190227:0206,0.0
20190227:0306,0.0
20190227:0406,0.0
20190227:0506,133.58
20190227:0606,350.6
20190227:0706,523.26
20190227:0806,652.77
20190227:0906,725.8
20190227:1006,752.94
20190227:1106,720.97
20190227:1206,647.07
20190227:1306,515.4
20190227:1406,325.71
20190227:1506,124.33
20190227:1606,0.0
20190227:1706,0.0
20190227:1806,0.0
20190227:1906,0.0
20190227:2006,0.0
20190227:2106,0.0
20190227:2206,0.0
20190227:2306,0.0
20190228:0006,0.0
20190228:0106,0.0
20190228:0206,0.0
20190228:0306,0.0
20190228:0406,0.0
20190228:0506,88.86
20190228:0606,300.58
20190228:0706,516.26
20190228:0806,635.67
20190228:0906,704.79
20190228:1006,495.86
20190228:1106,651.04
20190228:1206,599.02
20190228:1306,401.09
20190228:1406,155.93
20190228:1506,27.03
20190228:1606,0.0
20190228:1706,0.0
20190228:1806,0.0
20190228:1906,0.0
20190228:2006,0.0
20190228:2106,0.0
20190228:2206,0.0
20190228:2306,0.0
20190301:0006,0.0
20190301:0106,0.0
20190301:0206,0.0
20190301:0306,0.0
20190301:0406,0.0
20190301:0506,95.37
20190301:0606,83.33
20190301:0706,503.69
20190301:0806,330.65
20190301:0906,554.19
20190301:1006,726.3
20190301:1106,709.7
20190301:1206,648.42
20190301:1306,488.1
20190301:1406,195.5
20190301:1506,78.74
20190301:1606,0.0
20190301:1706,0.0
20190301:1806,0.0
20190301:1906,0.0
20190301:2006,0.0
20190301:2106,0.0
20190301:2206,0.0
20190301:2306,0.0
20190302:0006,0.0
20190302:0106,0.0
20190302:0206,0.0
20190302:0306,0.0
20190302:0406,0.0
20190302:0506,118.46
20190302:0606,341.28
20190302:0706,526.9
20190302:0806,647.49
20190302:0906,722.12
20190302:1006,747.91
20190302:1106,721.17
20190302:1206,646.91
20190302:1306,517.12
20190302:1406,336.89
20190302:1506,123.15
20190302:1606,0.0
20190302:1706,0.0
20190302:1806,0.0
20190302:1906,0.0
20190302:2006,0.0
20190302:2106,0.0
20190302:2206,0.0
20190302:2306,0.0
20190303:0006,0.0
20190303:0106,0.0
20190303:0206,0.0
20190303:0306,0.0
20190303:0406,0.0
20190303:0506,127.7
20190303:0606,347.48
20190303:0706,535.93
20190303:0806,646.61
20190303:0906,706.73
20190303:1006,752.48
20190303:1106,727.78
20190303:1206,651.79
20190303:1306,523.37
20190303:1406,339.69
20190303:1506,127.96
20190303:1606,0.0
20190303:1706,0.0
20190303:1806,0.0
20190303:1906,0.0
20190303:2006,0.0
20190303:2106,0.0
20190303:2206,0.0
20190303:2306,0.0
20190304:0006,0.0
20190304:0106,0.0
20190304:0206,0.0
20190304:0306,0.0
20190304:0406,0.0
20190304:0506,110.65
20190304:0606,322.15
20190304:0706,509.32
20190304:0806,638.52
20190304:0906,715.65
20190304:1006,741.95
20190304:1106,720.79
20190304:1206,649.02
20190304:1306,521.45
20190304:1406,335.46
20190304:1506,126.49
20190304:1606,0.0
20190304:1706,0.0
20190304:1806,0.0
20190304:1906,0.0
20190304:2006,0.0
20190304:2106,0.0
20190304:2206,0.0
20190304:2306,0.0
20190305:0006,0.0
20190305:0106,0.0
20190305:0206,0.0
20190305:0306,0.0
20190305:0406,0.0
20190305:0506,117.11
20190305:0606,250.41
20190305:0706,426.72
20190305:0806,400.11
20190305:0906,673.69
20190305:1006,593.77
20190305:1106,707.8
20190305:1206,66.59
20190305:1306,34.7
20190305:1406,143.49
20190305:1506,43.35
20190305:1606,0.0
20190305:1706,0.0
20190305:1806,0.0
20190305:1906,0.0
20190305:2006,0.0
20190305:2106,0.0
20190305:2206,0.0
20190305:2306,0.0
20190306:0006,0.0
20190306:0106,0.0
20190306:0206,0.0
20190306:0306,0.0
20190306:0406,0.0
20190306:0506,67.33
20190306:0606,128.29
20190306:0706,247.33
20190306:0806,361.26
20190306:0906,251.64
20190306:1006,720.61
20190306:1106,716.0
20190306:1206,527.18
20190306:1306,354.68
20190306:1406,312.24
20190306:1506,77.91
20190306:1606,0.0
20190306:1706,0.0
20190306:1806,0.0
20190306:1906,0.0
20190306:2006,0.0
20190306:2106,0.0
20190306:2206,0.0
20190306:2306,0.0
20190307:0006,0.0
20190307:0106,0.0
20190307:0206,0.0
20190307:0306,0.0
20190307:0406,0.0
20190307:0506,103.35
20190307:0606,261.99
20190307:0706,300.46
20190307:0806,514.84
20190307:0906,566.2
20190307:1006,651.0
20190307:1106,599.58
20190307:1206,367.2
20190307:1306,350.89
20190307:1406,77.76
20190307:1506,52.59
20190307:1606,0.0
20190307:1706,0.0
20190307:1806,0.0
20190307:1906,0.0
20190307:2006,0.0
20190307:2106,0.0
20190307:2206,0.0
20190307:2306,0.0
20190308:0006,0.0
20190308:0106,0.0
20190308:0206,0.0
20190308:0306,0.0
20190308:0406,0.0
20190308:0506,117.35
20190308:0606,347.66
20190308:0706,377.75
20190308:0806,648.88
20190308:0906,727.25
20190308:1006,750.43
20190308:1106,726.54
20190308:1206,653.66
20190308:1306,521.66
20190308:1406,302.5
20190308:1506,128.83
20190308:1606,0.0
20190308:1706,0.0
20190308:1806,0.0
20190308:1906,0.0
20190308:2006,0.0
20190308:2106,0.0
20190308:2206,0.0
20190308:2306,0.0
20190309:0006,0.0
20190309:0106,0.0
20190309:0206,0.0
20190309:0306,0.0
20190309:0406,0.0
20190309:0506,127.86
20190309:0606,354.33
20190309:0706,476.29
20190309:0806,661.83
20190309:0906,691.41
20190309:1006,738.41
20190309:1106,617.25
20190309:1206,449.82
20190309:1306,399.05
20190309:1406,21.31
20190309:1506,66.68
20190309:1606,0.0
20190309:1706,0.0
20190309:1806,0.0
20190309:1906,0.0
20190309:2006,0.0
20190309:2106,0.0
20190309:2206,0.0
20190309:2306,0.0
20190310:0006,0.0
20190310:0106,0.0
20190310:0206,0.0
20190310:0306,0.0
20190310:0406,0.0
20190310:0506,129.87
20190310:0606,297.41
20190310:0706,554.6
20190310:0806,679.55
20190310:0906,754.55
20190310:1006,769.17
20190310:1106,733.2
20190310:1206,571.8
20190310:1306,510.09
20190310:1406,314.53
20190310:1506,99.69
20190310:1606,0.0
20190310:1706,0.0
20190310:1806,0.0
20190310:1906,0.0
20190310:2006,0.0
20190310:2106,0.0
20190310:2206,0.0
20190310:2306,0.0
20190311:0006,0.0
20190311:0106,0.0
20190311:0206,0.0
20190311:0306,0.0
20190311:0406,0.0
20190311:0506,140.73
20190311:0606,365.29
20190311:0706,548.24
20190311:0806,660.27
20190311:0906,723.83
20190311:1006,698.84
20190311:1106,652.6
20190311:1206,182.81
20190311:1306,59.47
20190311:1406,171.15
20190311:1506,26.77
20190311:1606,0.0
20190311:1706,0.0
20190311:1806,0.0
20190311:1906,0.0
20190311:2006,0.0
20190311:2106,0.0
20190311:2206,0.0
20190311:2306,0.0
20190312:0006,0.0
20190312:0106,0.0
20190312:0206,0.0
20190312:0306,0.0
20190312:0406,0.0
20190312:0506,146.34
20190312:0606,366.94
20190312:0706,545.7
20190312:0806,660.13
20190312:0906,725.11
20190312:1006,733.98
20190312:1106,704.09
20190312:1206,557.72
20190312:1306,330.17
20190312:1406,307.58
20190312:1506,122.22
20190312:1606,0.0
20190312:1706,0.0
20190312:1806,0.0
20190312:1906,0.0
20190312:2006,0.0
20190312:2106,0.0
20190312:2206,0.0
20190312:2306,0.0
20190313:0006,0.0
20190313:0106,0.0
20190313:0206,0.0
20190313:0306,0.0
20190313:0406,0.0
20190313:0506,142.16
20190313:0606,357.81
20190313:0706,516.59
20190313:0806,647.22
20190313:0906,739.2
20190313:1006,736.14
20190313:1106,688.1
20190313:1206,527.89
20190313:1306,443.53
20190313:1406,288.97
20190313:1506,112.58
20190313:1606,0.0
20190313:1706,0.0
20190313:1806,0.0
20190313:1906,0.0
20190313:2006,0.0
20190313:2106,0.0
20190313:2206,0.0
20190313:2306,0.0
20190314:0006,0.0
20190314:0106,0.0
20190314:0206,0.0
20190314:0306,0.0
20190314:0406,0.0
20190314:0506,0.0
20190314:0606,81.63
20190314:0706,554.62
20190314:0806,674.52
20190314:0906,747.99
20190314:1006,764.81
20190314:1106,660.84
20190314:1206,220.72
20190314:1306,0.0
20190314:1406,117.07
20190314:1506,104.68
20190314:1606,0.0
20190314:1706,0.0
20190314:1806,0.0
20190314:1906,0.0
20190314:2006,0.0
20190314:2106,0.0
20190314:2206,0.0
20190314:2306,0.0
20190315:0006,0.0
20190315:0106,0.0
20190315:0206,0.0
20190315:0306,0.0
20190315:0406,0.0
20190315:0506,148.51
20190315:0606,312.74
20190315:0706,538.48
20190315:0806,465.41
20190315:0906,751.07
20190315:1006,593.34
20190315:1106,645.25
20190315:1206,518.07
20190315:1306,70.66
20190315:1406,73.09
20190315:1506,88.82
20190315:1606,0.0
20190315:1706,0.0
20190315:1806,0.0
20190315:1906,0.0
20190315:2006,0.0
20190315:2106,0.0
20190315:2206,0.0
20190315:2306,0.0
20190316:0006,0.0
20190316:0106,0.0
20190316:0206,0.0
20190316:0306,0.0
20190316:0406,0.0
20190316:0506,98.09
20190316:0606,365.24
20190316:0706,534.06
20190316:0806,667.35
20190316:0906,737.74
20190316:1006,714.84
20190316:1106,638.57
20190316:1206,556.36
20190316:1306,418.22
20190316:1406,103.35
20190316:1506,10.88
20190316:1606,0.0
20190316:1706,0.0
20190316:1806,0.0
20190316:1906,0.0
20190316:2006,0.0
20190316:2106,0.0
20190316:2206,0.0
20190316:2306,0.0
20190317:0006,0.0
20190317:0106,0.0
20190317:0206,0.0
20190317:0306,0.0
20190317:0406,0.0
20190317:0506,144.38
20190317:0606,350.63
20190317:0706,523.31
20190317:0806,626.64
20190317:0906,709.78
20190317:1006,705.09
20190317:1106,698.24
20190317:1206,569.59
20190317:1306,453.06
20190317:1406,283.15
20190317:1506,31.77
20190317:1606,0.0
20190317:1706,0.0
20190317:1806,0.0
20190317:1906,0.0
20190317:2006,0.0
20190317:2106,0.0
20190317:2206,0.0
20190317:2306,0.0
20190318:0006,0.0
20190318:0106,0.0
20190318:0206,0.0
20190318:0306,0.0
20190318:0406,0.0
20190318:0506,27.11
20190318:0606,230.94
20190318:0706,517.28
20190318:0806,628.62
20190318:0906,726.54
20190318:1006,736.91
20190318:1106,710.03
20190318:1206,625.49
20190318:1306,486.92
20190318:1406,273.63
20190318:1506,29.53
20190318:1606,0.0
20190318:1706,0.0
20190318:1806,0.0
20190318:1906,0.0
20190318:2006,0.0
20190318:2106,0.0
20190318:2206,0.0
20190318:2306,0.0
20190319:0006,0.0
20190319:0106,0.0
20190319:0206,0.0
20190319:0306,0.0
20190319:0406,0.0
20190319:0506,144.81
20190319:0606,370.35
20190319:0706,553.01
20190319:0806,677.12
20190319:0906,753.68
20190319:1006,765.26
20190319:1106,728.22
20190319:1206,621.52
20190319:1306,176.0
20190319:1406,248.34
20190319:1506,13.24
20190319:1606,0.0
20190319:1706,0.0
20190319:1806,0.0
20190319:1906,0.0
20190319:2006,0.0
20190319:2106,0.0
20190319:2206,0.0
20190319:2306,0.0
20190320:0006,0.0
20190320:0106,0.0
20190320:0206,0.0
20190320:0306,0.0
20190320:0406,0.0
20190320:0506,152.29
20190320:0606,379.8
20190320:0706,557.25
20190320:0806,681.52
20190320:0906,742.9
20190320:1006,761.44
20190320:1106,718.45
20190320:1206,569.47
20190320:1306,34.3
20190320:1406,310.39
20190320:1506,112.04
20190320:1606,0.0
20190320:1706,0.0
20190320:1806,0.0
20190320:1906,0.0
20190320:2006,0.0
20190320:2106,0.0
20190320:2206,0.0
20190320:2306,0.0
20190321:0006,0.0
20190321:0106,0.0
20190321:0206,0.0
20190321:0306,0.0
20190321:0406,0.0
20190321:0506,149.06
20190321:0606,368.5
20190321:0706,544.32
20190321:0806,662.47
20190321:0906,736.46
20190321:1006,747.53
20190321:1106,649.71
20190321:1206,53.82
20190321:1306,485.88
20190321:1406,86.84
20190321:1506,104.95
20190321:1606,0.0
20190321:1706,0.0
20190321:1806,0.0
20190321:1906,0.0
20190321:2006,0.0
20190321:2106,0.0
20190321:2206,0.0
20190321:2306,0.0
20190322:0006,0.0
20190322:0106,0.0
20190322:0206,0.0
20190322:0306,0.0
20190322:0406,0.0
20190322:0506,111.32
20190322:0606,331.83
20190322:0706,438.45
20190322:0806,429.8
20190322:0906,658.65
20190322:1006,595.68
20190322:1106,592.19
20190322:1206,541.84
20190322:1306,459.54
20190322:1406,225.98
20190322:1506,4.4
20190322:1606,0.0
20190322:1706,0.0
20190322:1806,0.0
20190322:1906,0.0
20190322:2006,0.0
20190322:2106,0.0
20190322:2206,0.0
20190322:2306,0.0
20190323:0006,0.0
20190323:0106,0.0
20190323:0206,0.0
20190323:0306,0.0
20190323:0406,0.0
20190323:0506,144.52
20190323:0606,376.27
20190323:0706,562.57
20190323:0806,684.73
20190323:0906,747.4
20190323:1006,756.78
20190323:1106,721.83
20190323:1206,518.12
20190323:1306,330.35
20190323:1406,191.56
20190323:1506,103.94
20190323:1606,0.0
20190323:1706,0.0
20190323:1806,0.0
20190323:1906,0.0
20190323:2006,0.0
20190323:2106,0.0
20190323:2206,0.0
20190323:2306,0.0
20190324:0006,0.0
20190324:0106,0.0
20190324:0206,0.0
20190324:0306,0.0
20190324:0406,0.0
20190324:0506,117.62
20190324:0606,302.24
20190324:0706,460.8
20190324:0806,607.58
20190324:0906,698.65
20190324:1006,701.29
20190324:1106,645.63
20190324:1206,562.75
20190324:1306,391.83
20190324:1406,94.53
20190324:1506,88.02
20190324:1606,0.0
20190324:1706,0.0
20190324:1806,0.0
20190324:1906,0.0
20190324:2006,0.0
20190324:2106,0.0
20190324:2206,0.0
20190324:2306,0.0
20190325:0006,0.0
20190325:0106,0.0
20190325:0206,0.0
20190325:0306,0.0
20190325:0406,0.0
20190325:0506,142.7
20190325:0606,363.0
20190325:0706,544.3
20190325:0806,652.77
20190325:0906,686.59
20190325:1006,682.06
20190325:1106,605.99
20190325:1206,526.42
20190325:1306,472.53
20190325:1406,308.08
20190325:1506,86.33
20190325:1606,0.0
20190325:1706,0.0
20190325:1806,0.0
20190325:1906,0.0
20190325:2006,0.0
20190325:2106,0.0
20190325:2206,0.0
20190325:2306,0.0
20190326:0006,0.0
20190326:0106,0.0
20190326:0206,0.0
20190326:0306,0.0
20190326:0406,0.0
20190326:0506,60.79
20190326:0606,255.01
20190326:0706,428.05
20190326:0806,556.61
20190326:0906,659.46
20190326:1006,567.25
20190326:1106,633.35
20190326:1206,557.19
20190326:1306,328.94
20190326:1406,214.48
20190326:1506,30.46
20190326:1606,0.0
20190326:1706,0.0
20190326:1806,0.0
20190326:1906,0.0
20190326:2006,0.0
20190326:2106,0.0
20190326:2206,0.0
20190326:2306,0.0
20190327:0006,0.0
20190327:0106,0.0
20190327:0206,0.0
20190327:0306,0.0
20190327:0406,0.0
20190327:0506,7.72
20190327:0606,22.97
20190327:0706,158.87
20190327:0806,534.37
20190327:0906,321.06
20190327:1006,189.44
20190327:1106,420.19
20190327:1206,556.96
20190327:1306,460.66
20190327:1406,303.28
20190327:1506,101.27
20190327:1606,0.0
20190327:1706,0.0
20190327:1806,0.0
20190327:1906,0.0
20190327:2006,0.0
20190327:2106,0.0
20190327:2206,0.0
20190327:2306,0.0
20190328:0006,0.0
20190328:0106,0.0
20190328:0206,0.0
20190328:0306,0.0
20190328:0406,0.0
20190328:0506,62.05
20190328:0606,160.54
20190328:0706,428.43
20190328:0806,320.02
20190328:0906,446.4
20190328:1006,350.99
20190328:1106,538.29
20190328:1206,476.52
20190328:1306,477.42
20190328:1406,138.41
20190328:1506,4.06
20190328:1606,0.0
20190328:1706,0.0
20190328:1806,0.0
20190328:1906,0.0
20190328:2006,0.0
20190328:2106,0.0
20190328:2206,0.0
20190328:2306,0.0
20190329:0006,0.0
20190329:0106,0.0
20190329:0206,0.0
20190329:0306,0.0
20190329:0406,0.0
20190329:0506,167.81
20190329:0606,387.68
20190329:0706,560.77
20190329:0806,668.22
20190329:0906,698.86
20190329:1006,674.78
20190329:1106,670.9
20190329:1206,557.54
20190329:1306,492.6
20190329:1406,321.19
20190329:1506,100.11
20190329:1606,0.0
20190329:1706,0.0
20190329:1806,0.0
20190329:1906,0.0
20190329:2006,0.0
20190329:2106,0.0
20190329:2206,0.0
20190329:2306,0.0
20190330:0006,0.0
20190330:0106,0.0
20190330:0206,0.0
20190330:0306,0.0
20190330:0406,0.0
20190330:0506,166.21
20190330:0606,374.59
20190330:0706,546.91
20190330:0806,672.63
20190330:0906,710.22
20190330:1006,723.51
20190330:1106,676.08
20190330:1206,611.74
20190330:1306,470.19
20190330:1406,190.14
20190330:1506,85.34
20190330:1606,0.0
20190330:1706,0.0
20190330:1806,0.0
20190330:1906,0.0
20190330:2006,0.0
20190330:2106,0.0
20190330:2206,0.0
20190330:2306,0.0
20190331:0006,0.0
20190331:0106,0.0
20190331:0206,0.0
20190331:0306,0.0
20190331:0406,0.0
20190331:0506,156.27
20190331:0606,375.09
20190331:0706,546.34
20190331:0806,660.21
20190331:0906,733.42
20190331:1006,743.15
20190331:1106,697.03
20190331:1206,589.72
20190331:1306,492.86
20190331:1406,311.2
20190331:1506,78.33
20190331:1606,0.0
20190331:1706,0.0
20190331:1806,0.0
20190331:1906,0.0
20190331:2006,0.0
20190331:2106,0.0
20190331:2206,0.0
20190331:2306,0.0
20190401:0006,0.0
20190401:0106,0.0
20190401:0206,0.0
20190401:0306,0.0
20190401:0406,0.0
20190401:0506,159.0
20190401:0606,365.37
20190401:0706,527.35
20190401:0806,619.82
20190401:0906,698.61
20190401:1006,442.42
20190401:1106,501.98
20190401:1206,468.69
20190401:1306,33.45
20190401:1406,30.7
20190401:1506,77.81
20190401:1606,0.0
20190401:1706,0.0
20190401:1806,0.0
20190401:1906,0.0
20190401:2006,0.0
20190401:2106,0.0
20190401:2206,0.0
20190401:2306,0.0
20190402:0006,0.0
20190402:0106,0.0
20190402:0206,0.0
20190402:0306,0.0
20190402:0406,0.82
20190402:0506,38.92
20190402:0606,182.2
20190402:0706,522.03
20190402:0806,341.98
20190402:0906,729.15
20190402:1006,625.71
20190402:1106,644.69
20190402:1206,607.87
20190402:1306,479.33
20190402:1406,153.7
20190402:1506,39.69
20190402:1606,0.0
20190402:1706,0.0
20190402:1806,0.0
20190402:1906,0.0
20190402:2006,0.0
20190402:2106,0.0
20190402:2206,0.0
20190402:2306,0.0
20190403:0006,0.0
20190403:0106,0.0
20190403:0206,0.0
20190403:0306,0.0
20190403:0406,0.82
20190403:0506,171.75
20190403:0606,388.45
20190403:0706,560.75
20190403:0806,675.92
20190403:0906,741.43
20190403:1006,746.45
20190403:1106,702.85
20190403:1206,612.27
20190403:1306,478.83
20190403:1406,283.66
20190403:1506,60.96
20190403:1606,0.0
20190403:1706,0.0
20190403:1806,0.0
20190403:1906,0.0
20190403:2006,0.0
20190403:2106,0.0
20190403:2206,0.0
20190403:2306,0.0
20190404:0006,0.0
20190404:0106,0.0
20190404:0206,0.0
20190404:0306,0.0
20190404:0406,0.82
20190404:0506,172.6
20190404:0606,382.23
20190404:0706,549.26
20190404:0806,662.03
20190404:0906,732.16
20190404:1006,738.7
20190404:1106,686.63
20190404:1206,562.43
20190404:1306,476.87
20190404:1406,292.35
20190404:1506,39.36
20190404:1606,0.0
20190404:1706,0.0
20190404:1806,0.0
20190404:1906,0.0
20190404:2006,0.0
20190404:2106,0.0
20190404:2206,0.0
20190404:2306,0.0
20190405:0006,0.0
20190405:0106,0.0
20190405:0206,0.0
20190405:0306,0.0
20190405:0406,4.67
20190405:0506,170.2
20190405:0606,386.06
20190405:0706,558.9
20190405:0806,675.0
20190405:0906,738.73
20190405:1006,750.13
20190405:1106,707.82
20190405:1206,613.71
20190405:1306,469.22
20190405:1406,265.43
20190405:1506,93.78
20190405:1606,0.0
20190405:1706,0.0
20190405:1806,0.0
20190405:1906,0.0
20190405:2006,0.0
20190405:2106,0.0
20190405:2206,0.0
20190405:2306,0.0
20190406:0006,0.0
20190406:0106,0.0
20190406:0206,0.0
20190406:0306,0.0
20190406:0406,4.63
20190406:0506,166.63
20190406:0606,380.82
20190406:0706,552.2
20190406:0806,668.12
20190406:0906,735.01
20190406:1006,733.74
20190406:1106,678.28
20190406:1206,615.47
20190406:1306,338.83
20190406:1406,160.86
20190406:1506,61.67
20190406:1606,0.0
20190406:1706,0.0
20190406:1806,0.0
20190406:1906,0.0
20190406:2006,0.0
20190406:2106,0.0
20190406:2206,0.0
20190406:2306,0.0
20190407:0006,0.0
20190407:0106,0.0
20190407:0206,0.0
20190407:0306,0.0
20190407:0406,4.19
20190407:0506,150.11
20190407:0606,330.27
20190407:0706,472.03
20190407:0806,606.71
20190407:0906,691.15
20190407:1006,661.31
20190407:1106,678.92
20190407:1206,602.47
20190407:1306,469.09
20190407:1406,304.79
20190407:1506,87.43
20190407:1606,0.0
20190407:1706,0.0
20190407:1806,0.0
20190407:1906,0.0
20190407:2006,0.0
20190407:2106,0.0
20190407:2206,0.0
20190407:2306,0.0
20190408:0006,0.0
20190408:0106,0.0
20190408:0206,0.0
20190408:0306,0.0
20190408:0406,5.74
20190408:0506,171.8
20190408:0606,383.51
20190408:0706,543.26
20190408:0806,573.49
20190408:0906,501.87
20190408:1006,668.5
20190408:1106,647.52
20190408:1206,545.02
20190408:1306,462.98
20190408:1406,292.26
20190408:1506,78.41
20190408:1606,0.0
20190408:1706,0.0
20190408:1806,0.0
20190408:1906,0.0
20190408:2006,0.0
20190408:2106,0.0
20190408:2206,0.0
20190408:2306,0.0
20190409:0006,0.0
20190409:0106,0.0
20190409:0206,0.0
20190409:0306,0.0
20190409:0406,5.79
20190409:0506,163.7
20190409:0606,352.16
20190409:0706,266.78
20190409:0806,554.43
20190409:0906,119.86
20190409:1006,673.65
20190409:1106,648.93
20190409:1206,112.91
20190409:1306,82.53
20190409:1406,53.92
20190409:1506,41.54
20190409:1606,0.0
20190409:1706,0.0
20190409:1806,0.0
20190409:1906,0.0
20190409:2006,0.0
20190409:2106,0.0
20190409:2206,0.0
20190409:2306,0.0
20190410:0006,0.0
20190410:0106,0.0
20190410:0206,0.0
20190410:0306,0.0
20190410:0406,0.0
20190410:0506,36.71
20190410:0606,123.73
20190410:0706,298.46
20190410:0806,447.58
20190410:0906,218.52
20190410:1006,699.46
20190410:1106,678.94
20190410:1206,418.67
20190410:1306,99.05
20190410:1406,73.7
20190410:1506,33.26
20190410:1606,0.0
20190410:1706,0.0
20190410:1806,0.0
20190410:1906,0.0
20190410:2006,0.0
20190410:2106,0.0
20190410:2206,0.0
20190410:2306,0.0
20190411:0006,0.0
20190411:0106,0.0
20190411:0206,0.0
20190411:0306,0.0
20190411:0406,6.33
20190411:0506,52.24
20190411:0606,376.08
20190411:0706,536.2
20190411:0806,647.74
20190411:0906,690.27
20190411:1006,644.2
20190411:1106,135.5
20190411:1206,232.78
20190411:1306,464.32
20190411:1406,272.86
20190411:1506,52.47
20190411:1606,0.0
20190411:1706,0.0
20190411:1806,0.0
20190411:1906,0.0
20190411:2006,0.0
20190411:2106,0.0
20190411:2206,0.0
20190411:2306,0.0
20190412:0006,0.0
20190412:0106,0.0
20190412:0206,0.0
20190412:0306,0.0
20190412:0406,5.39
20190412:0506,167.11
20190412:0606,369.39
20190412:0706,533.48
20190412:0806,633.91
20190412:0906,677.15
20190412:1006,682.69
20190412:1106,247.33
20190412:1206,0.0
20190412:1306,53.23
20190412:1406,89.85
20190412:1506,43.67
20190412:1606,0.0
20190412:1706,0.0
20190412:1806,0.0
20190412:1906,0.0
20190412:2006,0.0
20190412:2106,0.0
20190412:2206,0.0
20190412:2306,0.0
20190413:0006,0.0
20190413:0106,0.0
20190413:0206,0.0
20190413:0306,0.0
20190413:0406,4.31
20190413:0506,165.4
20190413:0606,344.51
20190413:0706,512.38
20190413:0806,586.09
20190413:0906,595.48
20190413:1006,567.28
20190413:1106,521.71
20190413:1206,419.46
20190413:1306,205.79
20190413:1406,192.93
20190413:1506,41.51
20190413:1606,0.0
20190413:1706,0.0
20190413:1806,0.0
20190413:1906,0.0
20190413:2006,0.0
20190413:2106,0.0
20190413:2206,0.0
20190413:2306,0.0
20190414:0006,0.0
20190414:0106,0.0
20190414:0206,0.0
20190414:0306,0.0
20190414:0406,2.7
20190414:0506,174.04
20190414:0606,378.0
20190414:0706,530.95
20190414:0806,626.53
20190414:0906,685.52
20190414:1006,702.41
20190414:1106,648.34
20190414:1206,593.79
20190414:1306,459.07
20190414:1406,289.76
20190414:1506,68.41
20190414:1606,0.0
20190414:1706,0.0
20190414:1806,0.0
20190414:1906,0.0
20190414:2006,0.0
20190414:2106,0.0
20190414:2206,0.0
20190414:2306,0.0
20190415:0006,0.0
20190415:0106,0.0
20190415:0206,0.0
20190415:0306,0.0
20190415:0406,4.85
20190415:0506,120.83
20190415:0606,291.5
20190415:0706,461.29
20190415:0806,593.91
20190415:0906,639.13
20190415:1006,556.71
20190415:1106,576.89
20190415:1206,590.6
20190415:1306,436.74
20190415:1406,264.48
20190415:1506,75.85
20190415:1606,0.0
20190415:1706,0.0
20190415:1806,0.0
20190415:1906,0.0
20190415:2006,0.0
20190415:2106,0.0
20190415:2206,0.0
20190415:2306,0.0
20190416:0006,0.0
20190416:0106,0.0
20190416:0206,0.0
20190416:0306,0.0
20190416:0406,7.67
20190416:0506,127.33
20190416:0606,353.7
20190416:0706,525.07
20190416:0806,640.93
20190416:0906,692.36
20190416:1006,689.65
20190416:1106,642.33
20190416:1206,578.36
20190416:1306,72.35
20190416:1406,168.34
20190416:1506,21.62
20190416:1606,0.0
20190416:1706,0.0
20190416:1806,0.0
20190416:1906,0.0
20190416:2006,0.0
20190416:2106,0.0
20190416:2206,0.0
