time,P
20190113:0206,0.0
20190113:0306,0.0
20190113:0406,0.0
20190113:0506,148.46
20190113:0606,368.43
20190113:0706,550.21
20190113:0806,672.69
20190113:0906,737.84
20190113:1006,746.48
20190113:1106,706.97
20190113:1206,624.73
20190113:1306,493.93
20190113:1406,321.79
20190113:1506,106.68
20190113:1606,0.0
20190113:1706,0.0
20190113:1806,0.0
20190113:1906,0.0
20190113:2006,0.0
20190113:2106,0.0
20190113:2206,0.0
20190113:2306,0.0
20190114:0006,0.0
20190114:0106,0.0
20190114:0206,0.0
20190114:0306,0.0
20190114:0406,0.0
20190114:0506,134.97
20190114:0606,357.87
20190114:0706,527.95
20190114:0806,649.49
20190114:0906,717.96
20190114:1006,724.56
20190114:1106,687.83
20190114:1206,572.38
20190114:1306,436.31
20190114:1406,298.49
20190114:1506,105.94
20190114:1606,0.0
20190114:1706,0.0
20190114:1806,0.0
20190114:1906,0.0
20190114:2006,0.0
20190114:2106,0.0
20190114:2206,0.0
20190114:2306,0.0
20190115:0006,0.0
20190115:0106,0.0
20190115:0206,0.0
20190115:0306,0.0
20190115:0406,0.0
20190115:0506,138.21
20190115:0606,344.67
20190115:0706,515.4
20190115:0806,626.67
20190115:0906,577.11
20190115:1006,650.48
20190115:1106,612.91
20190115:1206,606.8
20190115:1306,416.56
20190115:1406,319.69
20190115:1506,107.61
20190115:1606,0.0
20190115:1706,0.0
20190115:1806,0.0
20190115:1906,0.0
20190115:2006,0.0
20190115:2106,0.0
20190115:2206,0.0
20190115:2306,0.0
20190116:0006,0.0
20190116:0106,0.0
20190116:0206,0.0
20190116:0306,0.0
20190116:0406,0.0
20190116:0506,132.8
20190116:0606,310.48
20190116:0706,507.19
20190116:0806,623.38
20190116:0906,611.93
20190116:1006,581.42
20190116:1106,564.47
20190116:1206,590.24
20190116:1306,442.96
20190116:1406,228.86
20190116:1506,48.64
20190116:1606,0.0
20190116:1706,0.0
20190116:1806,0.0
20190116:1906,0.0
20190116:2006,0.0
20190116:2106,0.0
20190116:2206,0.0
20190116:2306,0.0
20190117:0006,0.0
20190117:0106,0.0
20190117:0206,0.0
20190117:0306,0.0
20190117:0406,0.0
20190117:0506,107.46
20190117:0606,330.73
20190117:0706,511.46
20190117:0806,595.39
20190117:0906,687.68
20190117:1006,463.65
20190117:1106,442.32
20190117:1206,551.04
20190117:1306,292.37
20190117:1406,305.84
20190117:1506,108.51
20190117:1606,0.0
20190117:1706,0.0
20190117:1806,0.0
20190117:1906,0.0
20190117:2006,0.0
20190117:2106,0.0
20190117:2206,0.0
20190117:2306,0.0
20190118:0006,0.0
20190118:0106,0.0
20190118:0206,0.0
20190118:0306,0.0
20190118:0406,0.0
20190118:0506,133.81
20190118:0606,342.63
20190118:0706,512.97
20190118:0806,633.57
20190118:0906,705.1
20190118:1006,724.88
20190118:1106,691.74
20190118:1206,616.05
20190118:1306,489.92
20190118:1406,317.38
20190118:1506,109.09
20190118:1606,0.0
20190118:1706,0.0
20190118:1806,0.0
20190118:1906,0.0
20190118:2006,0.0
20190118:2106,0.0
20190118:2206,0.0
20190118:2306,0.0
20190119:0006,0.0
20190119:0106,0.0
20190119:0206,0.0
20190119:0306,0.0
20190119:0406,0.0
20190119:0506,132.56
20190119:0606,343.86
20190119:0706,513.59
20190119:0806,624.96
20190119:0906,690.61
20190119:1006,723.44
20190119:1106,695.76
20190119:1206,619.17
20190119:1306,490.02
20190119:1406,313.91
20190119:1506,111.47
20190119:1606,0.0
20190119:1706,0.0
20190119:1806,0.0
20190119:1906,0.0
20190119:2006,0.0
20190119:2106,0.0
20190119:2206,0.0
20190119:2306,0.0
20190120:0006,0.0
20190120:0106,0.0
20190120:0206,0.0
20190120:0306,0.0
20190120:0406,0.0
20190120:0506,127.21
20190120:0606,192.59
20190120:0706,472.36
20190120:0806,629.14
20190120:0906,693.99
20190120:1006,714.49
20190120:1106,687.78
20190120:1206,618.64
20190120:1306,491.12
20190120:1406,324.97
20190120:1506,114.55
20190120:1606,0.0
20190120:1706,0.0
20190120:1806,0.0
20190120:1906,0.0
20190120:2006,0.0
20190120:2106,0.0
20190120:2206,0.0
20190120:2306,0.0
20190121:0006,0.0
20190121:0106,0.0
20190121:0206,0.0
20190121:0306,0.0
20190121:0406,0.0
20190121:0506,133.02
20190121:0606,349.78
20190121:0706,522.45
20190121:0806,642.36
20190121:0906,707.56
20190121:1006,726.29
20190121:1106,701.69
20190121:1206,624.15
20190121:1306,500.22
20190121:1406,329.77
20190121:1506,116.97
20190121:1606,0.0
20190121:1706,0.0
20190121:1806,0.0
20190121:1906,0.0
20190121:2006,0.0
20190121:2106,0.0
20190121:2206,0.0
20190121:2306,0.0
20190122:0006,0.0
20190122:0106,0.0
20190122:0206,0.0
20190122:0306,0.0
20190122:0406,0.0
20190122:0506,138.36
20190122:0606,351.54
20190122:0706,521.89
20190122:0806,636.96
20190122:0906,689.56
20190122:1006,727.59
20190122:1106,708.25
20190122:1206,626.22
20190122:1306,504.35
20190122:1406,333.3
20190122:1506,121.25
20190122:1606,0.0
20190122:1706,0.0
20190122:1806,0.0
20190122:1906,0.0
20190122:2006,0.0
20190122:2106,0.0
20190122:2206,0.0
20190122:2306,0.0
20190123:0006,0.0
20190123:0106,0.0
20190123:0206,0.0
20190123:0306,0.0
20190123:0406,0.0
20190123:0506,133.77
20190123:0606,349.87
20190123:0706,518.97
20190123:0806,634.69
20190123:0906,691.11
20190123:1006,701.88
20190123:1106,675.99
20190123:1206,608.5
20190123:1306,492.94
20190123:1406,324.23
20190123:1506,122.31
20190123:1606,0.0
20190123:1706,0.0
20190123:1806,0.0
20190123:1906,0.0
20190123:2006,0.0
20190123:2106,0.0
20190123:2206,0.0
20190123:2306,0.0
20190124:0006,0.0
20190124:0106,0.0
20190124:0206,0.0
20190124:0306,0.0
20190124:0406,0.0
20190124:0506,115.43
20190124:0606,336.5
20190124:0706,516.33
20190124:0806,645.44
20190124:0906,715.82
20190124:1006,729.93
20190124:1106,693.18
20190124:1206,617.56
20190124:1306,494.71
20190124:1406,323.96
20190124:1506,119.25
20190124:1606,0.0
20190124:1706,0.0
20190124:1806,0.0
20190124:1906,0.0
20190124:2006,0.0
20190124:2106,0.0
20190124:2206,0.0
20190124:2306,0.0
20190125:0006,0.0
20190125:0106,0.0
20190125:0206,0.0
20190125:0306,0.0
20190125:0406,0.0
20190125:0506,129.16
20190125:0606,332.19
20190125:0706,515.3
20190125:0806,649.59
20190125:0906,721.05
20190125:1006,740.51
20190125:1106,701.68
20190125:1206,626.07
20190125:1306,430.81
20190125:1406,319.34
20190125:1506,123.96
20190125:1606,0.0
20190125:1706,0.0
20190125:1806,0.0
20190125:1906,0.0
20190125:2006,0.0
20190125:2106,0.0
20190125:2206,0.0
20190125:2306,0.0
20190126:0006,0.0
20190126:0106,0.0
20190126:0206,0.0
20190126:0306,0.0
20190126:0406,0.0
20190126:0506,142.59
20190126:0606,320.35
20190126:0706,529.06
20190126:0806,456.24
20190126:0906,707.01
20190126:1006,733.06
20190126:1106,709.18
20190126:1206,618.98
20190126:1306,488.48
20190126:1406,322.12
20190126:1506,114.46
20190126:1606,0.0
20190126:1706,0.0
20190126:1806,0.0
20190126:1906,0.0
20190126:2006,0.0
20190126:2106,0.0
20190126:2206,0.0
20190126:2306,0.0
20190127:0006,0.0
20190127:0106,0.0
20190127:0206,0.0
20190127:0306,0.0
20190127:0406,0.0
20190127:0506,131.95
20190127:0606,337.21
20190127:0706,477.6
20190127:0806,632.08
20190127:0906,719.96
20190127:1006,733.43
20190127:1106,669.43
20190127:1206,610.16
20190127:1306,493.02
20190127:1406,278.3
20190127:1506,88.04
20190127:1606,0.0
20190127:1706,0.0
20190127:1806,0.0
20190127:1906,0.0
20190127:2006,0.0
20190127:2106,0.0
20190127:2206,0.0
20190127:2306,0.0
20190128:0006,0.0
20190128:0106,0.0
20190128:0206,0.0
20190128:0306,0.0
20190128:0406,0.0
20190128:0506,103.12
20190128:0606,313.54
20190128:0706,462.56
20190128:0806,643.3
20190128:0906,720.58
20190128:1006,730.91
20190128:1106,668.56
20190128:1206,612.35
20190128:1306,480.31
20190128:1406,303.2
20190128:1506,127.82
20190128:1606,0.0
20190128:1706,0.0
20190128:1806,0.0
20190128:1906,0.0
20190128:2006,0.0
20190128:2106,0.0
20190128:2206,0.0
20190128:2306,0.0
20190129:0006,0.0
20190129:0106,0.0
20190129:0206,0.0
20190129:0306,0.0
20190129:0406,0.0
20190129:0506,91.32
20190129:0606,320.44
20190129:0706,488.18
20190129:0806,638.99
20190129:0906,690.76
20190129:1006,700.37
20190129:1106,683.18
20190129:1206,612.2
20190129:1306,398.26
20190129:1406,278.62
20190129:1506,110.8
20190129:1606,0.0
20190129:1706,0.0
20190129:1806,0.0
20190129:1906,0.0
20190129:2006,0.0
20190129:2106,0.0
20190129:2206,0.0
20190129:2306,0.0
20190130:0006,0.0
20190130:0106,0.0
20190130:0206,0.0
20190130:0306,0.0
20190130:0406,0.0
20190130:0506,117.93
20190130:0606,344.61
20190130:0706,517.9
20190130:0806,644.33
20190130:0906,636.56
20190130:1006,674.07
20190130:1106,624.56
20190130:1206,620.86
20190130:1306,500.22
20190130:1406,318.15
20190130:1506,120.85
20190130:1606,0.0
20190130:1706,0.0
20190130:1806,0.0
20190130:1906,0.0
20190130:2006,0.0
20190130:2106,0.0
20190130:2206,0.0
20190130:2306,0.0
20190131:0006,0.0
20190131:0106,0.0
20190131:0206,0.0
20190131:0306,0.0
20190131:0406,0.0
20190131:0506,132.02
20190131:0606,342.08
20190131:0706,519.41
20190131:0806,644.48
20190131:0906,717.75
20190131:1006,736.25
20190131:1106,707.58
20190131:1206,568.4
20190131:1306,505.57
20190131:1406,332.9
20190131:1506,120.97
20190131:1606,0.0
20190131:1706,0.0
20190131:1806,0.0
20190131:1906,0.0
20190131:2006,0.0
20190131:2106,0.0
20190131:2206,0.0
20190131:2306,0.0
20190201:0006,0.0
20190201:0106,0.0
20190201:0206,0.0
20190201:0306,0.0
20190201:0406,0.0
20190201:0506,135.39
20190201:0606,362.6
20190201:0706,539.28
20190201:0806,662.37
20190201:0906,739.16
20190201:1006,752.15
20190201:1106,713.73
20190201:1206,488.84
20190201:1306,298.29
20190201:1406,297.17
20190201:1506,115.96
20190201:1606,0.0
20190201:1706,0.0
20190201:1806,0.0
20190201:1906,0.0
20190201:2006,0.0
20190201:2106,0.0
20190201:2206,0.0
20190201:2306,0.0
20190202:0006,0.0
20190202:0106,0.0
20190202:0206,0.0
20190202:0306,0.0
20190202:0406,0.0
20190202:0506,102.31
20190202:0606,357.26
20190202:0706,540.55
20190202:0806,668.03
20190202:0906,739.2
20190202:1006,751.97
20190202:1106,713.65
20190202:1206,637.49
20190202:1306,512.81
20190202:1406,343.88
20190202:1506,129.36
20190202:1606,0.0
20190202:1706,0.0
20190202:1806,0.0
20190202:1906,0.0
20190202:2006,0.0
20190202:2106,0.0
20190202:2206,0.0
20190202:2306,0.0
20190203:0006,0.0
20190203:0106,0.0
20190203:0206,0.0
20190203:0306,0.0
20190203:0406,0.0
20190203:0506,137.05
20190203:0606,350.62
20190203:0706,521.31
20190203:0806,647.09
20190203:0906,708.2
20190203:1006,694.44
20190203:1106,500.16
20190203:1206,583.51
20190203:1306,505.41
20190203:1406,182.38
20190203:1506,132.67
20190203:1606,0.0
20190203:1706,0.0
20190203:1806,0.0
20190203:1906,0.0
20190203:2006,0.0
20190203:2106,0.0
20190203:2206,0.0
20190203:2306,0.0
20190204:0006,0.0
20190204:0106,0.0
20190204:0206,0.0
20190204:0306,0.0
20190204:0406,0.0
20190204:0506,122.15
20190204:0606,335.31
20190204:0706,520.24
20190204:0806,646.08
20190204:0906,721.59
20190204:1006,724.12
20190204:1106,679.9
20190204:1206,599.55
20190204:1306,468.47
20190204:1406,269.5
20190204:1506,97.47
20190204:1606,0.0
20190204:1706,0.0
20190204:1806,0.0
20190204:1906,0.0
20190204:2006,0.0
20190204:2106,0.0
20190204:2206,0.0
20190204:2306,0.0
20190205:0006,0.0
20190205:0106,0.0
20190205:0206,0.0
20190205:0306,0.0
20190205:0406,0.0
20190205:0506,115.86
20190205:0606,315.33
20190205:0706,491.61
20190205:0806,599.95
20190205:0906,683.72
20190205:1006,683.92
20190205:1106,661.83
20190205:1206,570.57
20190205:1306,406.74
20190205:1406,286.59
20190205:1506,85.6
20190205:1606,0.0
20190205:1706,0.0
20190205:1806,0.0
20190205:1906,0.0
20190205:2006,0.0
20190205:2106,0.0
20190205:2206,0.0
20190205:2306,0.0
20190206:0006,0.0
20190206:0106,0.0
20190206:0206,0.0
20190206:0306,0.0
20190206:0406,0.0
20190206:0506,82.41
20190206:0606,241.21
20190206:0706,447.76
20190206:0806,565.44
20190206:0906,615.44
20190206:1006,701.76
20190206:1106,673.08
20190206:1206,610.07
20190206:1306,494.5
20190206:1406,347.62
20190206:1506,114.51
20190206:1606,0.0
20190206:1706,0.0
20190206:1806,0.0
20190206:1906,0.0
20190206:2006,0.0
20190206:2106,0.0
20190206:2206,0.0
20190206:2306,0.0
20190207:0006,0.0
20190207:0106,0.0
20190207:0206,0.0
20190207:0306,0.0
20190207:0406,0.0
20190207:0506,125.47
20190207:0606,342.59
20190207:0706,521.94
20190207:0806,653.09
20190207:0906,702.7
20190207:1006,666.03
20190207:1106,689.01
20190207:1206,631.15
20190207:1306,515.27
20190207:1406,332.99
20190207:1506,126.76
20190207:1606,0.0
20190207:1706,0.0
20190207:1806,0.0
20190207:1906,0.0
20190207:2006,0.0
20190207:2106,0.0
20190207:2206,0.0
20190207:2306,0.0
20190208:0006,0.0
20190208:0106,0.0
20190208:0206,0.0
20190208:0306,0.0
20190208:0406,0.0
20190208:0506,104.26
20190208:0606,327.03
20190208:0706,433.77
20190208:0806,646.83
20190208:0906,725.12
20190208:1006,738.74
20190208:1106,713.9
20190208:1206,634.35
20190208:1306,502.04
20190208:1406,317.01
20190208:1506,125.2
20190208:1606,0.0
20190208:1706,0.0
20190208:1806,0.0
20190208:1906,0.0
20190208:2006,0.0
20190208:2106,0.0
20190208:2206,0.0
20190208:2306,0.0
20190209:0006,0.0
20190209:0106,0.0
20190209:0206,0.0
20190209:0306,0.0
20190209:0406,0.0
20190209:0506,92.42
20190209:0606,261.56
20190209:0706,492.7
20190209:0806,621.01
20190209:0906,692.91
20190209:1006,701.0
20190209:1106,684.87
20190209:1206,635.31
20190209:1306,459.32
20190209:1406,290.81
20190209:1506,120.4
20190209:1606,0.0
20190209:1706,0.0
20190209:1806,0.0
20190209:1906,0.0
20190209:2006,0.0
20190209:2106,0.0
20190209:2206,0.0
20190209:2306,0.0
20190210:0006,0.0
20190210:0106,0.0
20190210:0206,0.0
20190210:0306,0.0
20190210:0406,0.0
20190210:0506,108.54
20190210:0606,336.66
20190210:0706,518.45
20190210:0806,647.92
20190210:0906,720.4
20190210:1006,741.91
20190210:1106,714.11
20190210:1206,624.51
20190210:1306,465.81
20190210:1406,326.37
20190210:1506,128.86
20190210:1606,0.0
20190210:1706,0.0
20190210:1806,0.0
20190210:1906,0.0
20190210:2006,0.0
20190210:2106,0.0
20190210:2206,0.0
20190210:2306,0.0
20190211:0006,0.0
20190211:0106,0.0
20190211:0206,0.0
20190211:0306,0.0
20190211:0406,0.0
20190211:0506,125.93
20190211:0606,294.92
20190211:0706,492.8
20190211:0806,483.49
20190211:0906,656.49
20190211:1006,628.21
20190211:1106,634.3
20190211:1206,597.43
20190211:1306,441.7
20190211:1406,280.96
20190211:1506,108.84
20190211:1606,0.0
20190211:1706,0.0
20190211:1806,0.0
20190211:1906,0.0
20190211:2006,0.0
20190211:2106,0.0
20190211:2206,0.0
20190211:2306,0.0
20190212:0006,0.0
20190212:0106,0.0
20190212:0206,0.0
20190212:0306,0.0
20190212:0406,0.0
20190212:0506,99.47
