time,solar_po
2019-07-03 16:06:00+00:00,0
2019-07-03 17:06:00+00:00,0
2019-07-03 18:06:00+00:00,0
2019-07-03 19:06:00+00:00,0
2019-07-03 20:06:00+00:00,0
2019-07-03 21:06:00+00:00,0
2019-07-03 22:06:00+00:00,0
2019-07-03 23:06:00+00:00,0
2019-12-01 00:06:00+00:00,0
2019-12-01 01:06:00+00:00,0
2019-12-01 02:06:00+00:00,0
2019-12-01 03:06:00+00:00,0
2019-12-01 04:06:00+00:00,0.01227
2019-12-01 05:06:00+00:00,0.05941
2019-12-01 06:06:00+00:00,0.22011
2019-12-01 07:06:00+00:00,0.21081
2019-12-01 08:06:00+00:00,0.39927
2019-12-01 09:06:00+00:00,0.29466
2019-12-01 10:06:00+00:00,0.41949
2019-12-01 11:06:00+00:00,0.67294
2019-12-01 12:06:00+00:00,0.59341
2019-12-01 13:06:00+00:00,0.44118
2019-12-01 14:06:00+00:00,0.2539
2019-12-01 15:06:00+00:00,0.02997
2019-12-01 16:06:00+00:00,0
2019-12-01 17:06:00+00:00,0
2019-12-01 18:06:00+00:00,0
2019-12-01 19:06:00+00:00,0
2019-12-01 20:06:00+00:00,0
2019-12-01 21:06:00+00:00,0
2019-12-01 22:06:00+00:00,0
2019-12-01 23:06:00+00:00,0
2019-12-02 00:06:00+00:00,0
2019-12-02 01:06:00+00:00,0
2019-12-02 02:06:00+00:00,0
2019-12-02 03:06:00+00:00,0
2019-12-02 04:06:00+00:00,0
2019-12-02 05:06:00+00:00,0.01518
2019-12-02 06:06:00+00:00,0.10646
2019-12-02 07:06:00+00:00,0.2103
2019-12-02 08:06:00+00:00,0.52729
2019-12-02 09:06:00+00:00,0.62852
2019-12-02 10:06:00+00:00,0.52729
2019-12-02 11:06:00+00:00,0.61196
2019-12-02 12:06:00+00:00,0.56197
2019-12-02 13:06:00+00:00,0.41481
2019-12-02 14:06:00+00:00,0.2479
2019-12-02 15:06:00+00:00,0.02877
2019-12-02 16:06:00+00:00,0
2019-12-02 17:06:00+00:00,0
2019-12-02 18:06:00+00:00,0
2019-12-02 19:06:00+00:00,0
2019-12-02 20:06:00+00:00,0
2019-12-02 21:06:00+00:00,0
2019-12-02 22:06:00+00:00,0
2019-12-02 23:06:00+00:00,0
2019-12-03 00:06:00+00:00,0
2019-12-03 01:06:00+00:00,0
2019-12-03 02:06:00+00:00,0
2019-12-03 03:06:00+00:00,0
2019-12-03 04:06:00+00:00,0
2019-12-03 05:06:00+00:00,0.00853
2019-12-03 06:06:00+00:00,0.1656
2019-12-03 07:06:00+00:00,0.13492
2019-12-03 08:06:00+00:00,0.42083
2019-12-03 09:06:00+00:00,0.50222
2019-12-03 10:06:00+00:00,0.22184
2019-12-03 11:06:00+00:00,0.14161
2019-12-03 12:06:00+00:00,0.27232
2019-12-03 13:06:00+00:00,0.27274
2019-12-03 14:06:00+00:00,0.12144
2019-12-03 15:06:00+00:00,0.0082
2019-12-03 16:06:00+00:00,0
2019-12-03 17:06:00+00:00,0
2019-12-03 18:06:00+00:00,0
2019-12-03 19:06:00+00:00,0
2019-12-03 20:06:00+00:00,0
2019-12-03 21:06:00+00:00,0
2019-12-03 22:06:00+00:00,0
2019-12-03 23:06:00+00:00,0
