,dome_load_kw
0,0.011786724386724338
1,0.010809235209235083
2,0.010372871572871513
3,0.009651659451659422
4,0.009430303030302947
5,0.009240692640692562
6,0.010098124098124023
7,0.009434054834054862
8,0.007720634920634854
9,0.008692063492063421
10,0.008505339105339134
11,0.00904733044733034
12,0.008561616161616157
13,0.00910764790764788
14,0.009335930735930628
15,0.008446464646464676
16,0.00915353535353529
17,0.011243578643578597
18,0.012122077922077916
19,0.019278499278499422
20,0.024226839826840072
21,0.02191313131313145
22,0.01734112554112561
23,0.013681385281385324
24,0.011786724386724338
25,0.010809235209235083
26,0.010372871572871513
27,0.009651659451659422
28,0.009430303030302947
29,0.009240692640692562
30,0.010098124098124023
31,0.009434054834054862
32,0.007720634920634854
33,0.008692063492063421
34,0.008505339105339134
35,0.00904733044733034
36,0.008561616161616157
37,0.00910764790764788
38,0.009335930735930628
39,0.008446464646464676
40,0.00915353535353529
41,0.011243578643578597
42,0.012122077922077916
43,0.019278499278499422
44,0.024226839826840072
45,0.02191313131313145
46,0.01734112554112561
47,0.013681385281385324
48,0.011786724386724338
49,0.010809235209235083
50,0.010372871572871513
51,0.009651659451659422
52,0.009430303030302947
53,0.009240692640692562
54,0.010098124098124023
55,0.009434054834054862
56,0.007720634920634854
57,0.008692063492063421
58,0.008505339105339134
59,0.00904733044733034
60,0.008561616161616157
61,0.00910764790764788
62,0.009335930735930628
63,0.008446464646464676
64,0.00915353535353529
65,0.011243578643578597
66,0.012122077922077916
67,0.019278499278499422
68,0.024226839826840072
69,0.02191313131313145
70,0.01734112554112561
71,0.013681385281385324
72,0.011786724386724338
73,0.010809235209235083
74,0.010372871572871513
75,0.009651659451659422
76,0.009430303030302947
77,0.009240692640692562
78,0.010098124098124023
79,0.009434054834054862
80,0.007720634920634854
81,0.008692063492063421
82,0.008505339105339134
83,0.00904733044733034
84,0.008561616161616157
85,0.00910764790764788
86,0.009335930735930628
87,0.008446464646464676
88,0.00915353535353529
89,0.011243578643578597
90,0.012122077922077916
91,0.019278499278499422
92,0.024226839826840072
93,0.02191313131313145
94,0.01734112554112561
95,0.013681385281385324
96,0.011786724386724338
97,0.010809235209235083
98,0.010372871572871513
99,0.009651659451659422
100,0.009430303030302947
101,0.009240692640692562
102,0.010098124098124023
103,0.009434054834054862
104,0.007720634920634854
105,0.008692063492063421
106,0.008505339105339134
107,0.00904733044733034
108,0.008561616161616157
109,0.00910764790764788
110,0.009335930735930628
111,0.008446464646464676
112,0.00915353535353529
113,0.011243578643578597
114,0.012122077922077916
115,0.019278499278499422
116,0.024226839826840072
117,0.02191313131313145
118,0.01734112554112561
119,0.013681385281385324
120,0.011786724386724338
121,0.010809235209235083
122,0.010372871572871513
123,0.009651659451659422
124,0.009430303030302947
125,0.009240692640692562
126,0.010098124098124023
127,0.009434054834054862
128,0.007720634920634854
129,0.008692063492063421
130,0.008505339105339134
131,0.00904733044733034
132,0.008561616161616157
133,0.00910764790764788
134,0.009335930735930628
135,0.008446464646464676
136,0.00915353535353529
137,0.011243578643578597
138,0.012122077922077916
139,0.019278499278499422
140,0.024226839826840072
141,0.02191313131313145
142,0.01734112554112561
143,0.013681385281385324
144,0.011786724386724338
145,0.010809235209235083
146,0.010372871572871513
147,0.009651659451659422
148,0.009430303030302947
149,0.009240692640692562
150,0.010098124098124023
151,0.009434054834054862
152,0.007720634920634854
153,0.008692063492063421
154,0.008505339105339134
155,0.00904733044733034
156,0.008561616161616157
157,0.00910764790764788
158,0.009335930735930628
159,0.008446464646464676
160,0.00915353535353529
161,0.011243578643578597
162,0.012122077922077916
163,0.019278499278499422
164,0.024226839826840072
165,0.02191313131313145
166,0.01734112554112561
167,0.013681385281385324
168,0.011786724386724338
169,0.010809235209235083
170,0.010372871572871513
171,0.009651659451659422
172,0.009430303030302947
173,0.009240692640692562
174,0.010098124098124023
175,0.009434054834054862
176,0.007720634920634854
177,0.008692063492063421
178,0.008505339105339134
179,0.00904733044733034
180,0.008561616161616157
181,0.00910764790764788
182,0.009335930735930628
183,0.008446464646464676
184,0.00915353535353529
185,0.011243578643578597
186,0.012122077922077916
187,0.019278499278499422
188,0.024226839826840072
189,0.02191313131313145
190,0.01734112554112561
191,0.013681385281385324
192,0.011786724386724338
193,0.010809235209235083
194,0.010372871572871513
195,0.009651659451659422
196,0.009430303030302947
197,0.009240692640692562
198,0.010098124098124023
199,0.009434054834054862
200,0.007720634920634854
201,0.008692063492063421
202,0.008505339105339134
203,0.00904733044733034
204,0.008561616161616157
205,0.00910764790764788
206,0.009335930735930628
207,0.008446464646464676
208,0.00915353535353529
209,0.011243578643578597
210,0.012122077922077916
211,0.019278499278499422
212,0.024226839826840072
213,0.02191313131313145
214,0.01734112554112561
215,0.013681385281385324
216,0.011786724386724338
217,0.010809235209235083
218,0.010372871572871513
219,0.009651659451659422
220,0.009430303030302947
221,0.009240692640692562
222,0.010098124098124023
223,0.009434054834054862
224,0.007720634920634854
225,0.008692063492063421
226,0.008505339105339134
227,0.00904733044733034
228,0.008561616161616157
229,0.00910764790764788
230,0.009335930735930628
231,0.008446464646464676
232,0.00915353535353529
233,0.011243578643578597
234,0.012122077922077916
235,0.019278499278499422
236,0.024226839826840072
237,0.02191313131313145
238,0.01734112554112561
239,0.013681385281385324
240,0.011786724386724338
241,0.010809235209235083
242,0.010372871572871513
243,0.009651659451659422
244,0.009430303030302947
245,0.009240692640692562
246,0.010098124098124023
247,0.009434054834054862
248,0.007720634920634854
249,0.008692063492063421
250,0.008505339105339134
251,0.00904733044733034
252,0.008561616161616157
253,0.00910764790764788
254,0.009335930735930628
255,0.008446464646464676
256,0.00915353535353529
257,0.011243578643578597
258,0.012122077922077916
259,0.019278499278499422
260,0.024226839826840072
261,0.02191313131313145
262,0.01734112554112561
263,0.013681385281385324
264,0.011786724386724338
265,0.010809235209235083
266,0.010372871572871513
267,0.009651659451659422
268,0.009430303030302947
269,0.009240692640692562
270,0.010098124098124023
271,0.009434054834054862
272,0.007720634920634854
273,0.008692063492063421
274,0.008505339105339134
275,0.00904733044733034
276,0.008561616161616157
277,0.00910764790764788
278,0.009335930735930628
279,0.008446464646464676
280,0.00915353535353529
281,0.011243578643578597
282,0.012122077922077916
283,0.019278499278499422
284,0.024226839826840072
285,0.02191313131313145
286,0.01734112554112561
287,0.013681385281385324
288,0.011786724386724338
289,0.010809235209235083
290,0.010372871572871513
291,0.009651659451659422
292,0.009430303030302947
293,0.009240692640692562
294,0.010098124098124023
295,0.009434054834054862
296,0.007720634920634854
297,0.008692063492063421
298,0.008505339105339134
299,0.00904733044733034
300,0.008561616161616157
301,0.00910764790764788
302,0.009335930735930628
303,0.008446464646464676
304,0.00915353535353529
305,0.011243578643578597
306,0.012122077922077916
307,0.019278499278499422
308,0.024226839826840072
309,0.02191313131313145
310,0.01734112554112561
311,0.013681385281385324
312,0.011786724386724338
313,0.010809235209235083
314,0.010372871572871513
315,0.009651659451659422
316,0.009430303030302947
317,0.009240692640692562
318,0.010098124098124023
319,0.009434054834054862
320,0.007720634920634854
321,0.008692063492063421
322,0.008505339105339134
323,0.00904733044733034
324,0.008561616161616157
325,0.00910764790764788
326,0.009335930735930628
327,0.008446464646464676
328,0.00915353535353529
329,0.011243578643578597
330,0.012122077922077916
331,0.019278499278499422
332,0.024226839826840072
333,0.02191313131313145
334,0.01734112554112561
335,0.013681385281385324
336,0.011786724386724338
337,0.010809235209235083
338,0.010372871572871513
339,0.009651659451659422
340,0.009430303030302947
341,0.009240692640692562
342,0.010098124098124023
343,0.009434054834054862
344,0.007720634920634854
345,0.008692063492063421
346,0.008505339105339134
347,0.00904733044733034
348,0.008561616161616157
349,0.00910764790764788
350,0.009335930735930628
351,0.008446464646464676
352,0.00915353535353529
353,0.011243578643578597
354,0.012122077922077916
355,0.019278499278499422
356,0.024226839826840072
357,0.02191313131313145
358,0.01734112554112561
359,0.013681385281385324
360,0.011786724386724338
361,0.010809235209235083
362,0.010372871572871513
363,0.009651659451659422
364,0.009430303030302947
365,0.009240692640692562
366,0.010098124098124023
367,0.009434054834054862
368,0.007720634920634854
369,0.008692063492063421
370,0.008505339105339134
371,0.00904733044733034
372,0.008561616161616157
373,0.00910764790764788
374,0.009335930735930628
375,0.008446464646464676
376,0.00915353535353529
377,0.011243578643578597
378,0.012122077922077916
379,0.019278499278499422
380,0.024226839826840072
381,0.02191313131313145
382,0.01734112554112561
383,0.013681385281385324
384,0.011786724386724338
385,0.010809235209235083
