time,solar_po
2019-04-06 16:06:00+00:00,0
2019-04-06 17:06:00+00:00,0
2019-04-06 18:06:00+00:00,0
2019-04-06 19:06:00+00:00,0
2019-04-06 20:06:00+00:00,0
2019-04-06 21:06:00+00:00,0
2019-04-06 22:06:00+00:00,0
2019-04-06 23:06:00+00:00,0
2019-04-07 00:06:00+00:00,0
2019-04-07 01:06:00+00:00,0
2019-04-07 02:06:00+00:00,0
2019-04-07 03:06:00+00:00,0
2019-04-07 04:06:00+00:00,0
2019-04-07 05:06:00+00:00,0.11619
2019-04-07 06:06:00+00:00,0.29021
2019-04-07 07:06:00+00:00,0.48375
2019-04-07 08:06:00+00:00,0.64201
2019-04-07 09:06:00+00:00,0.66684
2019-04-07 10:06:00+00:00,0.59051
2019-04-07 11:06:00+00:00,0.66528
2019-04-07 12:06:00+00:00,0.59678
2019-04-07 13:06:00+00:00,0.43707
2019-04-07 14:06:00+00:00,0.18689
2019-04-07 15:06:00+00:00,0.0684
2019-04-07 16:06:00+00:00,0
2019-04-07 17:06:00+00:00,0
2019-04-07 18:06:00+00:00,0
2019-04-07 19:06:00+00:00,0
2019-04-07 20:06:00+00:00,0
2019-04-07 21:06:00+00:00,0
2019-04-07 22:06:00+00:00,0
2019-04-07 23:06:00+00:00,0
2019-04-08 00:06:00+00:00,0
2019-04-08 01:06:00+00:00,0
2019-04-08 02:06:00+00:00,0
2019-04-08 03:06:00+00:00,0
2019-04-08 04:06:00+00:00,0.00006
2019-04-08 05:06:00+00:00,0.16389
2019-04-08 06:06:00+00:00,0.3768
2019-04-08 07:06:00+00:00,0.53795
2019-04-08 08:06:00+00:00,0.64852
2019-04-08 09:06:00+00:00,0.72474
2019-04-08 10:06:00+00:00,0.71871
2019-04-08 11:06:00+00:00,0.6942
2019-04-08 12:06:00+00:00,0.62667
2019-04-08 13:06:00+00:00,0.49081
2019-04-08 14:06:00+00:00,0.23211
2019-04-08 15:06:00+00:00,0.06378
2019-04-08 16:06:00+00:00,0
2019-04-08 17:06:00+00:00,0
2019-04-08 18:06:00+00:00,0
2019-04-08 19:06:00+00:00,0
2019-04-08 20:06:00+00:00,0
2019-04-08 21:06:00+00:00,0
2019-04-08 22:06:00+00:00,0
2019-04-08 23:06:00+00:00,0
2019-04-09 00:06:00+00:00,0
2019-04-09 01:06:00+00:00,0
2019-04-09 02:06:00+00:00,0
2019-04-09 03:06:00+00:00,0
2019-04-09 04:06:00+00:00,0
2019-04-09 05:06:00+00:00,0.16326
2019-04-09 06:06:00+00:00,0.21739
2019-04-09 07:06:00+00:00,0.39878
2019-04-09 08:06:00+00:00,0.6274
2019-04-09 09:06:00+00:00,0.11865
2019-04-09 10:06:00+00:00,0.4801
2019-04-09 11:06:00+00:00,0.11984
2019-04-09 12:06:00+00:00,0.04733
2019-04-09 13:06:00+00:00,0.03461
2019-04-09 14:06:00+00:00,0.03457
2019-04-09 15:06:00+00:00,0.02798
2019-04-09 16:06:00+00:00,0
2019-04-09 17:06:00+00:00,0
2019-04-09 18:06:00+00:00,0
2019-04-09 19:06:00+00:00,0
2019-04-09 20:06:00+00:00,0
2019-04-09 21:06:00+00:00,0
2019-04-09 22:06:00+00:00,0
2019-04-09 23:06:00+00:00,0
2019-04-10 00:06:00+00:00,0
2019-04-10 01:06:00+00:00,0
2019-04-10 02:06:00+00:00,0
2019-04-10 03:06:00+00:00,0
2019-04-10 04:06:00+00:00,0
2019-04-10 05:06:00+00:00,0.04621
2019-04-10 06:06:00+00:00,0.07446
2019-04-10 07:06:00+00:00,0.25676
2019-04-10 08:06:00+00:00,0.3479
2019-04-10 09:06:00+00:00,0.56214
2019-04-10 10:06:00+00:00,0.64032
2019-04-10 11:06:00+00:00,0.71756
2019-04-10 12:06:00+00:00,0.63247
2019-04-10 13:06:00+00:00,0.39189
2019-04-10 14:06:00+00:00,0.15209
2019-04-10 15:06:00+00:00,0.00414
2019-04-10 16:06:00+00:00,0
2019-04-10 17:06:00+00:00,0
2019-04-10 18:06:00+00:00,0
2019-04-10 19:06:00+00:00,0
2019-04-10 20:06:00+00:00,0
2019-04-10 21:06:00+00:00,0
2019-04-10 22:06:00+00:00,0
2019-04-10 23:06:00+00:00,0
2019-04-11 00:06:00+00:00,0
2019-04-11 01:06:00+00:00,0
2019-04-11 02:06:00+00:00,0
2019-04-11 03:06:00+00:00,0
2019-04-11 04:06:00+00:00,0.00308
